CO111	O111	CO100	O100	CO110	O110	CO211	O211	Ni111	Ni100	Ni110	Ni211
96.6290689940256	96.0474979108212	96.462336586304	95.853114484833	96.305823468299	95.6864216974891	96.6561034061924	96.0127473676939	94.5995431018155	94.4140870074393	94.0867603287129	94.5725055598373
-154.594503805393	-153.915513551708	-155.861915171039	-155.304084875135	-157.94047523276	-157.302497794726	-155.011755355742	-154.41542707189	-152.387352701168	-153.733177645254	-156.07404918188	-152.855211431029
376.397893938047	374.003577662518	376.494809093704	374.028020354957	377.076268440298	374.538198120548	376.578118209049	373.996141537996	368.487018146974	368.639682648679	368.938036069714	368.553392555511
317.444430916322	315.510427340904	317.534576087252	315.607942717368	317.438934644753	315.531391868575	317.42809657661	315.499446347017	311.538813962418	311.624618379983	311.604214510686	311.582082381517
-236.760618318837	-234.99542656374	-236.036019197729	-234.253385482913	-233.725031818315	-232.08876620528	-236.378405877208	-234.703097917282	-232.547866499496	-231.761771137501	-229.388705905469	-232.238122045516
-250.923520952512	-249.507981586616	-251.027622202644	-249.583079406126	-251.138188420176	-249.637100260981	-250.983374807308	-249.460760566643	-245.9133941773	-246.04270832916	-246.160611196967	-245.948607455165
-256.550166248933	-254.900894844339	-255.822306560767	-254.11998453158	-254.502524048951	-252.81029237145	-256.478406392952	-254.708095793026	-251.280044884104	-250.527176356512	-248.717032842473	-251.057077429975
-290.584619244345	-288.947368467627	-290.899282143657	-289.319617748086	-291.997164669547	-290.239234859522	-290.783761477917	-289.026403004876	-284.710506770266	-285.077995537945	-286.142660673479	-284.862178263507
97.5014593564774	97.0619187124112	97.8498230024927	97.4648154613842	100.102465275001	99.4495936675537	97.9068437260712	97.2350646221478	94.7860854445898	95.2617981142862	97.1871623033021	94.9538754085338
-426.594009026617	-423.8203035232	-426.746244238911	-423.905552681332	-427.386813391916	-424.589672616453	-426.668890814286	-423.853869093661	-417.790320117329	-417.910931356918	-418.511062262938	-417.93541943026
117.252194585976	116.625117699266	117.779119381415	117.149432583469	119.057479190687	118.407477786208	117.455975151248	116.8116118142	114.966388697418	115.530612275331	116.891141526584	115.177395044125
514.404962935443	511.478582729233	514.931176277571	512.129410328597	516.363410168485	513.368568844784	514.59683683027	511.613137012239	504.4833992978	505.071570377762	506.669639402861	504.738394432642
586.856871130725	583.575753193496	587.786276473441	584.569183969178	589.822330418731	586.35252132141	587.333968234239	583.841515343378	575.428107405668	576.484850327039	578.474145882781	575.817163799552
298.306473285214	296.418604557215	299.034673435945	297.233082704086	299.815760030014	298.035604647907	298.443363085905	296.669759303922	293.002636884458	293.754828911704	294.805272832143	293.243853739388
138.155271096198	137.204092429542	138.524148637048	137.526944916586	139.186651385173	138.239922690239	138.152983870023	137.225599604964	135.219043176734	135.570919971383	136.489177366145	135.335749295414
235.006812930794	233.750185922022	235.582688864962	234.405569665225	237.502855455635	236.111423024297	235.339275906676	233.954006694758	230.200167632227	230.860408114911	232.716682844206	230.462544857259
769.693062931499	765.010213502334	770.292731479212	765.690368745419	771.01225024864	766.201711273596	769.974265558453	765.121144284624	754.843174064819	755.541016561892	756.189266969832	755.05812475852
181.048764115989	179.525725581905	180.581726342709	178.969082844687	178.595871582849	177.167820870902	180.685172666888	179.228660727517	177.469956365147	176.959949927119	175.079473116586	177.201860154573
-472.926670008668	-469.862204794195	-473.363913416221	-470.273470887879	-473.956062579	-470.938192209554	-473.049416135304	-470.0085431671	-463.68683392654	-464.100061621923	-464.727951327313	-463.894163048264
-106.585409575587	-105.72924333967	-106.142532346094	-105.288820660904	-105.426258201967	-104.633903938718	-106.37858767126	-105.570417888182	-104.46159477212	-103.991393959834	-103.229276598243	-104.299217871707
-201.9037423132	-200.534966351056	-202.277459386285	-200.880070301054	-203.642909099047	-202.231921727497	-202.104902128704	-200.681095838961	-197.396228529257	-197.803261553956	-199.082364180792	-197.559052823087
524.172762507462	520.729023263681	523.80102445174	520.297458766011	523.400131318973	519.928859590462	524.081955280841	520.55493057707	513.412456402446	513.00511904922	512.393626310193	513.336797937717
-642.9798790667	-638.628204582979	-643.540710774012	-639.170179284682	-644.229881616916	-640.014632768119	-642.913308184583	-638.697250011078	-630.339515116008	-630.878255842576	-631.946547281779	-630.521513229021
-537.98458796012	-534.464722162715	-537.556909088049	-534.123996967613	-536.281053362887	-532.801427929071	-537.872131852871	-534.32044389483	-527.72724397935	-527.333194788676	-525.802266396237	-527.548586733728
-232.171243608276	-230.846029315568	-232.742712978105	-231.472234211895	-234.638928961531	-233.215255545378	-232.555269572713	-231.099606681239	-227.44995215532	-228.13415841864	-229.842114608455	-227.67740943424
-83.0300747940946	-83.1553184386248	-84.7981997308407	-85.1272864775783	-89.111813595975	-89.0324411381525	-83.795241400634	-83.7860989988649	-81.5916706849557	-83.5542532466425	-88.1572966860267	-82.2785515519508
-376.278100457469	-373.828859123686	-375.769067726008	-373.262376579894	-374.402223247795	-371.997380231506	-375.94923372612	-373.536595307189	-368.820889690342	-368.198516702716	-366.957249669119	-368.676458530428
229.867418562612	228.514230745414	230.190852396529	228.846285620702	230.546845547448	229.15647985806	229.959811318892	228.563789526294	225.422617150223	225.775792823361	226.218456351059	225.513470046841
82.624679473869	81.9460546915707	82.4949922999012	81.7550059587456	82.3448159695245	81.6048577209312	82.6425641729074	81.8599285121627	80.6173807221348	80.5361852505039	80.2197303565636	80.5275987673758
